partner_name,partner_type,partner_category,partner_logo,story_title,story_description,story_url
BloombergNEF,contributing,,bnef-logo.png,Carbon's coming clash: Article 6.4 and the offset market,How the voluntary carbon market could be affected by the new global trading mechanism known as Article 6.4,Article6.pdf
ICDX Group,contributing,,ICDX.png,Nationally Determined Contributions and the voluntary carbon market,Why countries' climate plans and the voluntary carbon markets do not compete but rather complement each other.,ICDX-story.pdf
Mitsubishi Heavy Industries,supporting,,MHI.jpg,,,
BNP Paribas,supporting,,BNP-Paribas.png,,,
International Emissions Trading Association,contributing,,IETA.png,How governments can implement NDCs cooperatively and encourage private sector investment,Ingredients for success that governments need to consider and address to mobilize private sector resources and investmen toward the Article 6 mechanisms.,IETA-story-1.pdf
International Carbon Action Partnership,contributing,,ICAP.jpg,Emissions trading worldwide: status report 2022,"Lays out the latest developments and salient emissions-trading trends, and compares ETS facts and figures on each operational and planned program.",ICAP-story-1.pdf
BloombergNEF,contributing,,bnef-logo.png,Sustainable agriculture: the new green revolution,How carbon-smart farming is one of the five pillars of a sustainable agricultural system,Introduction-to-BNEF-Sustinable-Agriculture.pdf
BloombergNEF,contributing,,bnef-logo.png,Taiwan's new carbon market could take a cue from Singapore,Taiwan is joining the pack of Asian economies looking to use carbon markets to springboard their net-zero aspirations.,Taiwans-New-Carbon-Market-Could-Take-a-Cue-From-Singapore.pdf
Pertamina,contributing,,Pertamina.jpg,How PT Pertamina as an integrated energy company can support the carbon market,Pertamina is developing carbon sequestration and avoidance projcts by leveraging Indonesia's comparative advantages.,pertamina-story.pdf
ACT Commodities,contributing,,ACT.png,Southeast Asia carbon markets will find an equilibrium,Stability in more mature carbon markets such as in the European Union took over a decade to cultivate. Budding Southeast Asian carbon markets should leverage the lessons learned from these countries in order to make a system that works for the region's unique attributes.,ACT-story.pdf
Yamaha Motor,contributing,,yamaha.jpg,Yamaha Motor's initiatives to achieve carbon neutrality,Yamaha Motor sees carbon offsetting as part of its wide carbon neutrality goals. To support this and emissions reduction targets the company has set up a Sustainability Fund to invest in carbon offset projects among other things.,yamaha-story.pdf
Bank of Montreal,contributing,,BMO-CM.png,The voluntary carbon market: international market of mystery,"Analysis of the key attributes of the voluntary carbon markets and risk factors, and why these markets need to deliver high-integrity products to realize growth.",BMO-story.pdf
Vale,supporting,,Vale.jpg,,,
Jarden,contributing,,Jarden.png,Price differentiation in carbon offsets - not all created equal,"Interview with Head of Commodities and Carbon Trading, Nigel Brunel: ""Voluntary carbon markets will become one of the biggest commodity markets in the world."" ",Jarden-story.pdf
EKI Energy Services,contributing,,EKI.png,Steering the planet to net-zero,EKI Energy Services' Green Cooking initiative to empower economically weaker households with improved cookstoves free of cost for users.,EKI-story.pdf
International Carbon Action Partnership,contributing,,ICAP.jpg,Emissions trading in practice: a handbook on design and implementation,"Draws on experiences of jurisdictions with an emissions-trading scheme to assist policy makers to design, implement and operate an effective and credible carbon market.",ICAP-story-2.pdf
International Emissions Trading Association,contributing,,IETA.png,GHG market sentiment survey 2022,How carbon markets around the world are set to continue growing rapidly as countries double down on climate ambition and corporates pursue net-zero goals,IETA-story-2.pdf
Adaro Power,supporting,,Adaro.png,,,
Jababeka,supporting,,Jababeka.png,,,
Equatorise,supporting,,Equatorise.jpg,,,
GenZero,supporting,,Genzero.png,,,
Reforestum,supporting,,reforestum.jpg,,,
Pier 61,supporting,,pier61.jpg,,,
Ureca,contributing,,ureca.png,"In Mongolia, a quest to democratize carbon credits","When working as envisioned, carbon credits introduce a powerful tool to incentivize and fund emissions reductions across the economy.",ureca-story.pdf
ICDX Group,contributing,,ICDX.png,"Building a Transparent and Strong Carbon Marketplace: Navigating Climate Policies, Regulations, and Carbon Taxes",The importance of carbon markets and the need for a success marketplace. ,ICX.pdf
ASEAN,contributing,,ASEAN_BAC.png,Unlocking Southeast Asia's potential to help meet the global net zero challenge,"The economic, environmental and social benefits of supporting regional economies. ",ASEAN.pdf
Forest Carbon,contributing,,ForestCarbon.png,The Kepayang Community Forest Project,Nature-based solutions role in achieving climate goals.,ForestCarbon.pdf
Forest Carbon,contributing,,ForestCarbon.png,The way forward for environmental assets ,Optimising nature-based solutions.,ForestCarbon2.pdf
East Ventures,contributing,,EastVentures.png,Planting mangroves and embracing climate tech,Developing sustainable investment frameworks. ,EastVentures.pdf
East Ventures,contributing,,EastVentures.png,Counting the economic consequences of a warming world,Mobilizing investment and stakeholders to limit future damage. ,EastVentures2.pdf
ASEAN ,managing,,ASEAN_BAC.png,,,
East Ventures,contributing,,EastVentures.png,"Emission Calculator and Visualization Southeast Asia","East Ventures and The Indonesian Chamber of Commerce and Industry (Kadin), launched ECOVISEA, a free web-based global greenhouse gas calculator that helps companies to accurately measure, manage, and reduce their emissions, facilitating the transition to a low-carbon economy.",EastVentures3.pdf
